AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
20200,Galactic Bowling,21-Oct-08,0,19.99,0,TRUE,FALSE,FALSE,30,Perpetual FX Creative,Perpetual FX Creative,"Single-player,Multi-player,Steam Achievements,Partial Controller Support","Casual,Indie,Sports",6,11
655370,Train Bandit,12-Oct-17,0,0.99,0,TRUE,TRUE,FALSE,12,Rusty Moyher,Wild Rooster,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie",53,5
1732930,Jolt Project,17-Nov-21,0,4.99,0,TRUE,FALSE,FALSE,0,Campi�o Games,Campi�o Games,Single-player,"Action,Adventure,Indie,Strategy",0,0
1355720,Henosis?,23-Jul-20,0,5.99,0,TRUE,TRUE,TRUE,0,Odd Critter Games,Odd Critter Games,"Single-player,Full controller support","Adventure,Casual,Indie",3,0
1139950,Two Weeks in Painland,03-Feb-20,0,0,0,TRUE,TRUE,FALSE,17,Unusual Games,Unusual Games,"Single-player,Steam Achievements","Adventure,Indie",50,8
1469160,Wartune Reborn,26-Feb-21,0,0,0,TRUE,FALSE,FALSE,0,7Road,7Road,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy",87,49
1659180,TD Worlds,09-Jan-22,0,10.99,1,TRUE,FALSE,FALSE,62,MAKSIM VOLKAU,MAKSIM VOLKAU,"Single-player,Steam Achievements,Steam Cloud","Indie,Strategy",21,7
1968760,Legend of Rome - The Wrath of Mars,05-May-22,0,9.99,0,TRUE,FALSE,FALSE,0,magnussoft,magnussoft,"Single-player,Steam Cloud",Casual,0,0
1178150,MazM: Jekyll and Hyde,02-Apr-20,0,14.99,0,TRUE,FALSE,FALSE,25,Growing Seeds,"CFK Co., Ltd.","Single-player,Steam Achievements,Full controller support","Adventure,RPG,Simulation,Strategy",76,6
320150,Deadlings: Rotten Edition,11-Nov-14,0,3.99,0,TRUE,TRUE,TRUE,32,ONE MORE LEVEL,ONE MORE LEVEL,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie",225,45
